UUID,event_type,datetime,subcategory_name
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:54:25.034 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 12:55:12.264 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,Browse,2019-01-23 13:16:28.596 UTC,
00054603-7ff8-4423-a532-9fd9e8678d97,VAP,2019-01-24 02:49:52.370 UTC,Houses - Apartments for Sale
00054603-7ff8-4423-a532-9fd9e8678d97,view_number_on_vap_initiate,2019-01-24 02:52:31.584 UTC,Houses - Apartments for Sale
00054603-7ff8-4423-a532-9fd9e8678d97,view_number_on_vap_success,2019-01-24 02:52:33.472 UTC,Houses - Apartments for Sale
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,Browse,2019-01-23 08:06:33.080 UTC,
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,VAP,2019-01-23 08:07:04.809 UTC,Land - Plot For Sale
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,VAP,2019-01-23 08:07:31.637 UTC,Land - Plot For Sale
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,Browse,2019-01-23 08:08:58.845 UTC,
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,VAP,2019-01-23 08:09:08.433 UTC,Land - Plot For Sale
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,Browse,2019-01-23 08:09:26.486 UTC,
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,VAP,2019-01-23 08:09:54.811 UTC,Land - Plot For Sale
00058d44-5d42-4f53-aa16-a85d9f7bb4bc,Browse,2019-01-23 08:10:12.350 UTC,
0005d214-38e5-4a77-80d2-c49a1b5d9d5e,homepage,2019-01-24 05:37:11.925 UTC,
0005d214-38e5-4a77-80d2-c49a1b5d9d5e,homepage,2019-01-24 07:58:11.904 UTC,
0005d214-38e5-4a77-80d2-c49a1b5d9d5e,homepage,2019-01-25 06:55:42.192 UTC,
0006453b-e48e-434b-8ade-5012d538ac4e,VAP,2019-01-24 01:00:44.051 UTC,Houses - Apartments for Sale
00070da5-9efc-49a9-bbbf-9f5964bfa6cd,view_number_on_vap_initiate,2019-01-25 08:25:13.907 UTC,Paying Guest - Hostel
00070f0b-de76-4c70-8e65-7a0961b05244,VAP,2019-01-25 05:21:22.697 UTC,Villas/Bungalows for Rent
00075282-9f2d-4b13-8129-d2c99c11d686,Browse,2019-01-24 05:19:51.290 UTC,
00075282-9f2d-4b13-8129-d2c99c11d686,VAP,2019-01-24 05:20:07.643 UTC,Houses - Apartments for Rent
00075282-9f2d-4b13-8129-d2c99c11d686,VAP,2019-01-24 05:20:50.423 UTC,Houses - Apartments for Rent
000851d5-855b-4193-ae29-f12114f940ba,quick_view_snb,2019-01-25 05:46:09.911 UTC,Houses - Apartments for Rent
000851d5-855b-4193-ae29-f12114f940ba,VAP,2019-01-25 05:46:16.581 UTC,Houses - Apartments for Rent
00087099-a764-44a4-8c85-3808e85e9377,VAP,2019-01-23 07:47:53.854 UTC,Commercial Property for Sale
00088953-0bed-4d4e-83ea-304f96894e76,homepage,2019-01-23 09:39:44.861 UTC,
00088953-0bed-4d4e-83ea-304f96894e76,homepage,2019-01-23 09:48:31.599 UTC,
00088953-0bed-4d4e-83ea-304f96894e76,listingsearchpage,2019-01-23 10:03:54.994 UTC,
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:04:36.659 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:04:39.743 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:04:43.664 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:04:46.622 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:04:49.655 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap,2019-01-23 10:09:14.231 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap,2019-01-23 10:09:29.625 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap,2019-01-23 10:09:41.776 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:10:30.697 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:10:32.628 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:10:39.643 UTC,Houses - Apartments for Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:10:41.802 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,listingsearchpage,2019-01-23 10:15:25.888 UTC,
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:20:48.782 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap,2019-01-23 10:20:52.971 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap,2019-01-23 10:21:14.782 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap,2019-01-23 10:21:49.740 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:22:59.738 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:23:04.666 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:23:10.823 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:23:12.667 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,listingLocation,2019-01-23 10:25:46.846 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,vap_location,2019-01-23 10:25:47.609 UTC,
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 10:25:55.039 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,listingLocation,2019-01-23 15:31:18.012 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,vap_location,2019-01-23 15:31:19.677 UTC,
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 15:32:20.194 UTC,Residential - Builder floors For Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap_location,2019-01-23 15:33:54.016 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,rcb_vap_location,2019-01-23 15:34:08.778 UTC,Villas/Bungalows for Rent
00088953-0bed-4d4e-83ea-304f96894e76,VAP,2019-01-23 15:39:03.021 UTC,Residential - Builder floors For Rent
000942af-45d2-44d0-8abe-23b6b1b68761,VAP,2019-01-23 07:24:59.882 UTC,Houses - Apartments for Sale
000942af-45d2-44d0-8abe-23b6b1b68761,VAP,2019-01-23 12:28:56.287 UTC,Houses - Apartments for Sale
000942af-45d2-44d0-8abe-23b6b1b68761,VAP,2019-01-24 07:25:51.894 UTC,Houses - Apartments for Sale
000942af-45d2-44d0-8abe-23b6b1b68761,VAP,2019-01-24 07:26:25.273 UTC,Houses - Apartments for Sale
000942af-45d2-44d0-8abe-23b6b1b68761,VAP,2019-01-24 07:27:01.370 UTC,Houses - Apartments for Sale
000942af-45d2-44d0-8abe-23b6b1b68761,VAP,2019-01-24 07:27:07.236 UTC,Houses - Apartments for Sale
000942af-45d2-44d0-8abe-23b6b1b68761,builderpage,2019-01-24 07:27:13.685 UTC,
000942af-45d2-44d0-8abe-23b6b1b68761,builderpage,2019-01-24 07:27:33.822 UTC,
000942af-45d2-44d0-8abe-23b6b1b68761,builderpage,2019-01-24 07:28:46.468 UTC,
000942af-45d2-44d0-8abe-23b6b1b68761,builderpage,2019-01-24 07:29:17.971 UTC,
000942af-45d2-44d0-8abe-23b6b1b68761,builderpage,2019-01-24 07:29:28.096 UTC,
000942af-45d2-44d0-8abe-23b6b1b68761,builderpage,2019-01-24 07:29:57.551 UTC,
00095bdb-bfa5-4708-8705-8fb2accdb204,Browse,2019-01-25 04:31:41.088 UTC,
00099bae-97b3-473a-9124-ba86fa4433ea,VAP,2019-01-23 08:26:34.707 UTC,"Real Estate,Houses - Apartments for Rent"
00099bae-97b3-473a-9124-ba86fa4433ea,contact_on_vap_initiate,2019-01-23 08:26:41.144 UTC,Apartment For Rent
000a3958-11e5-475e-a7c3-a8e3cb815704,Browse,2019-01-23 05:38:06.824 UTC,
000a5e9d-3e45-4349-8f5a-5fcefee0512b,Browse,2019-01-25 08:29:40.623 UTC,
000a5e9d-3e45-4349-8f5a-5fcefee0512b,VAP,2019-01-25 08:30:31.704 UTC,Houses - Apartments for Sale
000a8140-dc4f-4f83-87cd-0560a732e967,contact_on_vap_initiate,2019-01-23 16:51:59.878 UTC,Land - Plot For Sale
000a91a2-4644-4df9-a83d-fdeffd685b80,VAP,2019-01-23 08:48:15.862 UTC,Land - Plot For Sale
000bd32d-447a-450b-85fd-4b1f96d009da,VAP,2019-01-24 01:44:11.535 UTC,"Real Estate,Houses - Apartments for Rent"
000bd32d-447a-450b-85fd-4b1f96d009da,Browse,2019-01-24 01:57:43.878 UTC,
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 08:26:26.414 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 08:27:06.659 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 08:28:00.857 UTC,Houses - Apartments for Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 08:28:57.559 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 08:30:10.003 UTC,Villas/Bungalows for Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 09:24:22.463 UTC,Houses - Apartments for Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,Browse,2019-01-23 09:24:50.797 UTC,
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 09:25:01.876 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 09:25:24.916 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-23 09:26:21.779 UTC,Villas/Bungalows for Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-24 03:11:15.685 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-24 03:11:44.506 UTC,Land - Plot For Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-24 03:13:22.938 UTC,Villas/Bungalows for Sale
000bf5a1-9524-4806-9a02-aca8a25f58e2,VAP,2019-01-24 03:14:04.673 UTC,Land - Plot For Sale
000c9474-28d7-47b1-8b05-81da4ffac299,listingsearchpage,2019-01-24 09:59:01.775 UTC,
000c9474-28d7-47b1-8b05-81da4ffac299,listingsearchpage,2019-01-24 09:59:57.663 UTC,
000c9474-28d7-47b1-8b05-81da4ffac299,quick_view_snb,2019-01-24 10:00:03.366 UTC,Residential - Builder floors For Sale
000c9474-28d7-47b1-8b05-81da4ffac299,quick_view_snb,2019-01-24 10:00:36.178 UTC,Houses - Apartments for Sale
000c9474-28d7-47b1-8b05-81da4ffac299,quick_view_snb,2019-01-24 10:00:36.754 UTC,Houses - Apartments for Sale
000c9474-28d7-47b1-8b05-81da4ffac299,listingsearchpage,2019-01-24 17:32:01.682 UTC,
000c9474-28d7-47b1-8b05-81da4ffac299,listingsearchpage,2019-01-24 17:37:53.394 UTC,
000d925b-06fe-4113-98b9-bbb9a902727b,quick_view_snb,2019-01-25 11:06:41.406 UTC,Houses - Apartments for Rent
000d925b-06fe-4113-98b9-bbb9a902727b,VAP,2019-01-25 11:06:58.171 UTC,Houses - Apartments for Rent
000d925b-06fe-4113-98b9-bbb9a902727b,listingLocation,2019-01-25 11:12:30.375 UTC,Houses - Apartments for Rent
000d925b-06fe-4113-98b9-bbb9a902727b,vap_location,2019-01-25 11:12:31.309 UTC,
000d925b-06fe-4113-98b9-bbb9a902727b,VAP,2019-01-25 11:12:52.214 UTC,Houses - Apartments for Rent
000d925b-06fe-4113-98b9-bbb9a902727b,quick_view_snb,2019-01-25 11:14:44.311 UTC,Houses - Apartments for Rent
000db67b-a29b-4616-8b04-c5e6fad716bc,Browse,2019-01-23 15:19:06.024 UTC,
000db67b-a29b-4616-8b04-c5e6fad716bc,Filter_select,2019-01-23 15:20:03.591 UTC,
000db67b-a29b-4616-8b04-c5e6fad716bc,Browse,2019-01-23 15:20:58.049 UTC,
000db67b-a29b-4616-8b04-c5e6fad716bc,Filter_select,2019-01-23 15:22:17.547 UTC,
000db67b-a29b-4616-8b04-c5e6fad716bc,Filter_select,2019-01-23 15:22:24.156 UTC,
000db67b-a29b-4616-8b04-c5e6fad716bc,VAP,2019-01-23 15:22:50.067 UTC,Houses - Apartments for Rent
000df0c9-4a9a-47c0-8d92-f179b37683df,Browse,2019-01-24 14:27:59.523 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 14:28:42.004 UTC,Land - Plot For Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 14:29:38.998 UTC,Land - Plot For Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 14:30:45.048 UTC,Land - Plot For Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,Filter_select,2019-01-24 14:39:13.322 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,Browse,2019-01-24 14:42:49.824 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,Browse,2019-01-24 15:40:07.764 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:11:52.348 UTC,Houses - Apartments for Rent
000df0c9-4a9a-47c0-8d92-f179b37683df,Browse,2019-01-24 16:11:53.199 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:12:12.149 UTC,Houses - Apartments for Rent
000df0c9-4a9a-47c0-8d92-f179b37683df,Browse,2019-01-24 16:18:33.387 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,Filter_select,2019-01-24 16:19:34.686 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:20:20.220 UTC,Villas/Bungalows for Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:20:57.462 UTC,Villas/Bungalows for Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:21:40.305 UTC,Villas/Bungalows for Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:22:38.777 UTC,Villas/Bungalows for Sale
000df0c9-4a9a-47c0-8d92-f179b37683df,Filter_select,2019-01-24 16:27:44.786 UTC,
000df0c9-4a9a-47c0-8d92-f179b37683df,VAP,2019-01-24 16:27:59.065 UTC,Villas/Bungalows for Sale
000e1fd4-80f8-44b2-8bbe-b017b10cd60c,VAP,2019-01-23 07:23:41.861 UTC,Villas/Bungalows for Sale
000e2909-4323-4bb5-93ec-4ebb5bd21e27,VAP,2019-01-24 03:03:59.386 UTC,Villas/Bungalows for Rent
000ecade-9fa8-4054-8d95-7920d25cb2b4,VAP,2019-01-24 16:18:34.389 UTC,Houses - Apartments for Rent
000f497b-1123-407b-8c75-a7a63610d335,PostAd_initiate,2019-01-24 10:55:46.699 UTC,Residential
000f497b-1123-407b-8c75-a7a63610d335,PostAd_initiate,2019-01-24 12:18:45.673 UTC,Residential
000f497b-1123-407b-8c75-a7a63610d335,PostAd_initiate,2019-01-24 12:18:54.969 UTC,Residential
000fde01-55d4-4c8b-a476-ed570dd44808,VAP,2019-01-25 10:57:26.507 UTC,Houses - Apartments for Sale
00103fe8-0acc-4acc-a745-8599161a540a,homepage,2019-01-23 08:07:17.999 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,homepage,2019-01-23 08:07:21.702 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-23 08:07:28.102 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,VAP,2019-01-23 08:08:07.023 UTC,Houses - Apartments for Sale
00103fe8-0acc-4acc-a745-8599161a540a,VAP,2019-01-23 08:09:11.070 UTC,Houses - Apartments for Sale
00103fe8-0acc-4acc-a745-8599161a540a,VAP,2019-01-23 08:09:39.802 UTC,Houses - Apartments for Sale
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-23 09:28:33.437 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-23 09:43:47.886 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-23 09:44:15.800 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,VAP,2019-01-23 09:46:04.452 UTC,Houses - Apartments for Sale
00103fe8-0acc-4acc-a745-8599161a540a,homepage,2019-01-24 11:03:03.293 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,homepage,2019-01-24 11:03:13.379 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-24 11:03:36.443 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-24 11:03:46.196 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,listingsearchpage,2019-01-24 11:03:47.155 UTC,
00103fe8-0acc-4acc-a745-8599161a540a,VAP,2019-01-24 11:10:39.509 UTC,Houses - Apartments for Rent
00103fe8-0acc-4acc-a745-8599161a540a,VAP,2019-01-24 11:11:32.703 UTC,Houses - Apartments for Rent
00103fe8-0acc-4acc-a745-8599161a540a,rcb_vap,2019-01-24 11:12:02.701 UTC,Houses - Apartments for Rent
00103fe8-0acc-4acc-a745-8599161a540a,rcb_vap,2019-01-24 11:12:27.375 UTC,Houses - Apartments for Rent
0011ef4f-817c-4466-a874-7b864f4dd8ff,contact_on_vap_initiate,2019-01-24 15:01:13.395 UTC,Houses - Apartments for Rent
0011ef4f-817c-4466-a874-7b864f4dd8ff,Filter_select,2019-01-24 15:03:59.354 UTC,
0011ef4f-817c-4466-a874-7b864f4dd8ff,Filter_select,2019-01-24 15:05:18.298 UTC,
0011ef4f-817c-4466-a874-7b864f4dd8ff,Filter_select,2019-01-24 15:06:17.580 UTC,
0011ef4f-817c-4466-a874-7b864f4dd8ff,Filter_select,2019-01-24 15:06:22.706 UTC,
0011ef4f-817c-4466-a874-7b864f4dd8ff,Filter_select,2019-01-24 15:06:31.997 UTC,
0011ef4f-817c-4466-a874-7b864f4dd8ff,Filter_select,2019-01-24 15:06:59.311 UTC,
0011ef4f-817c-4466-a874-7b864f4dd8ff,contact_on_vap_initiate,2019-01-24 15:10:44.614 UTC,Houses - Apartments for Rent
0011ef4f-817c-4466-a874-7b864f4dd8ff,view_number_on_vap_initiate,2019-01-24 15:10:48.060 UTC,Houses - Apartments for Rent
00123a56-1044-4a92-91fe-31d8fc6e7bba,builderpage,2019-01-23 14:18:27.984 UTC,
0012559c-0a04-47da-9598-7a2b1ae7be71,postadpage,2019-01-24 06:00:42.139 UTC,
00126f89-ce94-48fc-86e5-870d4c679ee9,homepage,2019-01-24 09:58:28.944 UTC,
00126f89-ce94-48fc-86e5-870d4c679ee9,homepage,2019-01-24 09:58:57.905 UTC,
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:16:22.360 UTC,Houses - Apartments for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:17:34.807 UTC,Houses - Apartments for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:17:53.257 UTC,Houses - Apartments for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:18:26.500 UTC,Houses - Apartments for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:19:15.967 UTC,Houses - Apartments for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,VAP,2019-01-25 10:19:47.971 UTC,Houses - Apartments for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,VAP,2019-01-25 10:20:44.263 UTC,Villas/Bungalows for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:25:32 UTC,Villas/Bungalows for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:26:00.277 UTC,Villas/Bungalows for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,quick_view_snb,2019-01-25 10:26:20.054 UTC,Villas/Bungalows for Sale
00126f89-ce94-48fc-86e5-870d4c679ee9,VAP,2019-01-25 10:48:01.973 UTC,Houses - Apartments for Sale
00128c9e-fccb-4708-afc6-d9b20a3d05df,VAP,2019-01-23 14:06:19.632 UTC,Villas/Bungalows for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,VAP,2019-01-25 03:07:22.779 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,view_number_on_vap_initiate,2019-01-25 03:07:57.116 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,VAP,2019-01-25 03:08:16.115 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,VAP,2019-01-25 03:08:31.652 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,VAP,2019-01-25 03:09:35.313 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,VAP,2019-01-25 03:09:55.566 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,pop_ups_vap,2019-01-25 03:12:27.291 UTC,Houses - Apartments for Sale
00141a8d-57e7-4f3f-868f-0b4d7c310bf6,VAP,2019-01-25 03:12:51.045 UTC,Houses - Apartments for Sale
00142103-a0e9-4c33-ae3f-e82918cf5760,VAP,2019-01-24 13:44:40.060 UTC,Houses - Apartments for Sale
00142e6f-9184-4cc8-8868-b4da99d0b196,quick_view_snb,2019-01-23 12:55:50.617 UTC,Houses - Apartments for Rent
00142e6f-9184-4cc8-8868-b4da99d0b196,quick_view_snb,2019-01-23 12:57:27.991 UTC,Houses - Apartments for Rent
00142e6f-9184-4cc8-8868-b4da99d0b196,quick_view_snb,2019-01-23 13:00:03.123 UTC,Houses - Apartments for Rent
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:04:23.956 UTC,Land - Plot For Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,Browse,2019-01-24 10:06:02.308 UTC,
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:06:34.995 UTC,Land - Plot For Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:08:34.664 UTC,Land - Plot For Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:10:17.342 UTC,Land - Plot For Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,Search,2019-01-24 10:11:47.158 UTC,
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,Filter_select,2019-01-24 10:19:10.544 UTC,
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:21:01.871 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:23:00.791 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:23:55.563 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:25:46.035 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:26:44.794 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:27:41.899 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:29:30.306 UTC,Houses - Apartments for Sale
0014ad0a-4bc5-4bcb-806a-e362383a7fe6,VAP,2019-01-24 10:30:23.330 UTC,Houses - Apartments for Sale
