"broker_id";"account_credits"
"4e44d2eb4767c";"49.30"
"4e301f27c5677";"-0.29"
"4e5c89a4cd998";"88.66"
"4e5ce4de8cc9f";"-0.31"
"4e6f40240ad3c";"-5.25"
"4e70333ae15b5";"-0.51"
"4e7c792c42cc4";"-4.45"
"4e8011b311d55";"-0.74"
"4e8313e3ec0e9";"1.76"
"4e8bee212a176";"-0.24"
"4e1fba5f59c5b";"-0.35"
"4ea6f2371e86c";"2.00"
"4e1fba6329c94";"0.00"
"4eaa6087dfe68";"-0.16"
"4eb0da75efe76";"378.65"
"4eb284bd7fab5";"31.61"
"4eb3d63322dce";"-1.87"
"4eb431b80b521";"11.16"
"4eb8b28c3e2c3";"-1.51"
"4ebf050aa478d";"0.00"
"4ebab9c67d16c";"11.19"
"4ecbb7bdb2f5a";"-0.23"
"4ecfc30f6f83a";"-0.72"
"4ed5fb363ae24";"0.00"
"4ed7255cb951c";"-3.38"
"4ee1beefe5f90";"-0.10"
"4ee589feca38c";"0.00"
"4ee5a7ade84af";"-1.30"
"4ee853f246320";"-1.82"
"4ee9d74ba393e";"75.93"
"4eeb0b0a956ae";"132.45"
"4eedfbc946e5c";"72.10"
"4ec9f76b8b292";"0.00"
"4de8c357bac5c";"21.28"
"4ef6e42334de4";"0.00"
"4ef9f534218b9";"-0.76"
"4efd4387873c4";"0.00"
"4d9aece40388e";"-3.76"
"4e1fbd037113c";"21.24"
"4f01a92236028";"49.10"
"4f0865f87d808";"-0.35"
"4f115d019ee05";"-10.62"
"4f129e95910bf";"88.25"
"4da3610bb3669";"-0.05"
"4f02e1b015658";"54.88"
"4f27e8c4ea8ae";"-3.44"
"4f2ba04de4c32";"232.00"
"4f3509e460878";"14.90"
"4f3a15d7723db";"-1.47"
"4f3b95f5956c7";"20.71"
"4f40bfbe703ff";"9.87"
"4f3b00eac42a9";"7.85"
"4f487916e52c4";"-5.60"
"4f4c42cbcdba4";"98.77"
"4f4ce40c35a7d";"27.40"
"4f5ca7912f1d3";"0.00"
"4f05eaeaad79c";"-0.08"
"4f6079d1ac4f0";"-2.31"
"4f6310a7cb1e0";"37.78"
"4f62f18bb50ae";"142.63"
"4d6b7bae64102";"138.59"
"4f6abf10065ab";"-5.55"
"4f3b61bb14218";"101.03"
"4f72e24b78383";"-1.11"
"4f72e4e285749";"15.08"
"4f794345be538";"31.22"
"4f7a83d2b7fd8";"106.30"
"4f829ca40df2f";"3478.83"
"4f83c9abb8d17";"51.27"
"4f83e362d1ae5";"17.94"
"4f8e35cbefc55";"0.00"
"4f8fd8d952182";"-0.29"
"4f925fb02f5d3";"0.00"
"4f93bae03abd6";"114.65"
"4e59637ee7519";"0.00"
"4fa23b1d6c0b6";"-0.08"
"4fa27cf789dd9";"21.20"
"4faa03a9c0552";"0.00"
"4facec57be4c5";"23.23"
"4fb09226ae2a1";"2.49"
"4fb4f74ed60ab";"0.00"
"4fbe251abb346";"98.62"
"4fc89fa4e5b9c";"38.27"
"4fc994a2f4032";"0.00"
"4fcec9bc24b4b";"95.30"
"4d6b796a19d94";"0.66"
"4fd4663ea20da";"4.21"
"4fd5786a23b29";"467.19"
"4fdb211ff0027";"0.00"
"4fe02dac39942";"46.92"
"4fe300ba34573";"-0.27"
"4fe30c417f3c9";"1450.93"
"4fe4402960d5e";"21.55"
"4fdc3ffa182a0";"-0.48"
"4fe81ad169d68";"467.90"
"4feac5b05b3a4";"68.67"
"4e1fba683643b";"32.75"
"4fedaee70b7f3";"-3.35"
"4feef8b64204f";"1.74"
"4ff417fa0d389";"0.00"
"4ff6c5d62fc07";"68.86"
"4ff7cdfab86a2";"0.00"
"4ffc27ca2792a";"0.00"
"4ffc3a62caf2d";"16.00"
"4ffd6813c999b";"0.00"
"4fff1d25c1a8c";"83.17"
"5000296cd66f7";"12.66"
"50015b508b14a";"-0.93"
"500407ca670b8";"0.00"
"50142cc0bae27";"-3.43"
"5018ca6b0d5c2";"-42.46"
"5018e668dfb98";"359.98"
"5020afd9ada81";"1908.28"
"5021ff28a6b18";"21.59"
"50251259c001f";"81.38"
"4f8808dd8b7ff";"-4.23"
"5028bedc1ca82";"0.30"
"502de8d363123";"14.82"
"5032761af02d8";"195.72"
"503888ccc60fd";"-1.47"
"4f1f9a2b971aa";"105.06"
"50407bf763b36";"1320.39"
"50471d6ad60e2";"311.45"
"5047283100632";"1383.94"
"5049a7d85c7bc";"-3.92"
"504d8e82656bc";"-0.15"
"504e017311d0e";"5898.81"
"50504818b5a71";"78.03"
"4f1a50c392074";"-4.92"
"50557cf635071";"-2.89"
"50573685025f8";"227.83"
"505b1102104dc";"2.54"
"505c353d36b40";"43.41"
"505d6e5352569";"4.19"
"505db03103655";"-5.41"
"5061b8e719e2f";"44.41"
"5062dc9e3107b";"123.37"
"5063e96448438";"22.21"
"50692aeb300cc";"0.75"
"506a825cb9131";"36.94"
"5072dded4f293";"81.88"
"507447d160209";"-0.57"
"507abdd00f892";"11.65"
"4e1f0d2baed26";"58.10"
"508a708503297";"-1.67"
"5091307528634";"32.14"
"5098e5361d0ca";"-0.13"
"5024b4fc024b3";"12.97"
"509a0c043fa65";"0.00"
"509baafb45dd5";"-3.53"
"50a6270867ac8";"0.00"
"50af21bcb713e";"9.38"
"4f6b660342276";"0.00"
"50b09b2418fd7";"-1.07"
"50b1e0f699d18";"0.00"
"50b23bf2af30e";"2.55"
"50b309420d6dc";"0.00"
"50b3599d70ccd";"2.20"
"50b49ad6e15d2";"67.34"
"50b59febadc6e";"-1.60"
"50b71d068ef15";"-0.90"
"50b87a86021b9";"112.44"
"50bc40f5ef16d";"247.59"
"50bc6682eb2c8";"92.00"
"50adbc656d48b";"-1.12"
"50bda1843c163";"54.81"
"50bed07ce4367";"1485.73"
"506fc63a52a57";"91.57"
"50d04e7ece9ad";"78.35"
"4fb6423876b24";"81.97"
"50d30fe6c5894";"22.30"
"50d3357890dd5";"18.85"
"50d437a4ab6e0";"138.38"
"50d46fabe29cb";"-0.48"
"50dc34322d683";"-0.92"
"50dd794ba20bd";"-1.53"
"50dd7e43c7a17";"-4.06"
"500ac0ec0d9ac";"0.00"
"50e523d6a9716";"-17.94"
"50e72c2b99f05";"23.31"
"50eb9b73b733c";"6.31"
"50f3f54be118f";"-3.02"
"4febdef363dc0";"-0.01"
"50f4f595c0e86";"5207.14"
"50f5061589313";"0.00"
"50f682235bd86";"157.78"
"50f8e289bca0f";"-75.34"
"50f90e7d54725";"32.19"
"50f11b696c5f9";"56.66"
"50fd5d5030c20";"-2.21"
"50fe22c5681a1";"-0.69"
"50ff9d30e9508";"-4.97"
"5100c43cae66f";"255.11"
"5100fac6b9bfb";"-1.70"
"510188d5dc80b";"83.69"
"5101e1530f7ab";"-0.16"
"51052eb9999fa";"21.32"
"51075700ddece";"1.24"
"5109fcb1dd4de";"0.00"
"4e1fba2323158";"110.88"
"506464e9ef3c2";"-0.38"
"510f915681835";"0.00"
"510f9ddf3a7f3";"166.37"
"5110c69d6531a";"-3.58"
"5110d6d3e8394";"616.13"
"511114d8621a0";"-11.53"
"5112334436e9a";"15.44"
"51112eec8f8b7";"16.68"
"51124dfcc6732";"206.28"
"50eabd2654594";"18.15"
"511377ac18b9a";"46.02"
"5115dcf1e5e37";"97.17"
"5117c0b3d79ed";"187.28"
"51189dfddccdc";"-0.33"
"510c062f16a55";"0.00"
"5119c90bd31ce";"-0.63"
"511b2296c70f0";"43.64"
"511dbb2d22ab5";"-7.35"
"512493dfe4b12";"6.30"
"50505d3ca705e";"-0.88"
"51287b3a0c79c";"0.00"
"5128b6c196f1c";"16.37"
"50336350768e2";"-1.92"
"512d966544a6c";"-5.09"
"512dda124aaea";"0.00"
"512f027c131ee";"-0.38"
"513073921445f";"253.80"
"513474af2ce8b";"283.79"
"501b9024051ff";"0.00"
"513ae4c367475";"-1.36"
"513efd3b4b090";"1570.95"
"513f0e3dbfc00";"313.38"
"513dd06a89eb2";"-0.95"
"4e65beb6b1a4e";"19.21"
"5142c59edb49b";"551.39"
"5142e1ed7fe27";"113.65"
"5143027f397f5";"-2.35"
"5146b7df3ba8d";"41.04"
"50bdd94500138";"0.00"
"514afa27705d2";"17.47"
"514c45e00ccb8";"54.86"
"51516326a20d4";"1.26"
"50f28fc16d931";"-4.36"
"51552d922ef22";"-0.02"
"515951d0f38a0";"138.29"
"515a7372e14dd";"2.97"
"515c437b770df";"23.87"
"5164ccc30c3c8";"146.79"
"51653f213c126";"0.00"
"51654b10a33fd";"-1.00"
"5167b0594c1d9";"1571.35"
"516a63ffe0c25";"618.46"
"516c28ed38492";"3.51"
"516f8e550b69a";"0.00"
"516f9e0ccbd5c";"60.17"
"51710fb4a06c1";"0.00"
"517e14fc422b1";"-0.45"
"517e331929226";"-1.08"
"517f9672c3a79";"0.65"
"517fadbbce415";"-2.26"
"5182419283083";"0.48"
"51835b56e2a96";"32.94"
"50042ff8e6fc3";"0.25"
"5183906399e96";"17.02"
"5018e62fc53e8";"-0.35"
"5183a715879d4";"-0.04"
"5184c54a471f6";"468.35"
"5185c4b2eb04c";"0.00"
"518b72a98c475";"43.21"
"518bb7b3c6c60";"0.00"
"4d6b7ab0e09ac";"241.78"
"5190d6c7a28e2";"323.02"
"5190df081a037";"74.30"
"5194c8f0a1011";"163.58"
"5199e646ddf11";"-0.09"
"519f1cdad7ac4";"146.22"
"519f201c449c2";"-0.20"
"519f2b3250c75";"338.80"
"51a50f9c6385f";"4.27"
"51a88b704a5fa";"36.41"
"51ac385cc776c";"-3.96"
"51ac69423f299";"-0.56"
"51ad6d35cbbb7";"365.87"
"51af07a5d7067";"-2.85"
"51b1c73f8fc34";"5478.52"
"51b0525b80a36";"-4.37"
"51b6b3d2521b6";"58.64"
"51b6b921dc952";"-0.60"
"51b81a56e5d06";"0.00"
"51babd5370cc1";"17.61"
"51c054e3785e3";"33.29"
"51c19f91513d6";"273.16"
"51c8136784d29";"62.42"
"51c9202eeb419";"1164.17"
"51c97ed6e42f4";"87.79"
"51cacda243e82";"-2.38"
"5139c21283daa";"-3.13"
"51cbe60206c77";"-0.08"
"51b5507a63474";"-0.21"
"51d6afa0d7901";"-0.49"
"51da5b4924092";"-0.34"
"51da7ec3cd27b";"9.17"
"51dfb4b7d5276";"-0.82"
"51e50e4a10016";"2.70"
"4e61ca08e15a0";"-0.13"
"51e6810814384";"-2.26"
"51e79a08a8a26";"441.39"
"51d3c5b014082";"21.46"
"51e8f842ae272";"0.00"
"51e965b7a24ca";"0.00"
"51ea6498283fa";"49.63"
"509246d573c4d";"350.00"
"51ebc139eb67a";"-0.12"
"51ece4f50db04";"-0.14"
"51f0ad637dd0a";"55.62"
"51f0c8a3ddfc7";"-0.34"
"50420ea33e5fc";"2.10"
"51f22946bb8d6";"33.60"
"51f5fa0367fdf";"-0.26"
"51f64f7f2c719";"0.28"
"51f683f524acd";"0.00"
"51f75097cc4eb";"42.32"
"51f7c397338af";"0.00"
"51fa072abddc7";"0.00"
"51fa25e2404f4";"-1.38"
"51fa2b3d00bc6";"25.65"
"51fb4116446ad";"8.17"
"51ff5208a87f8";"309.02"
"520095bd56b70";"55.46"
"520473d24d96c";"-0.31"
"5204a0a0df40a";"48.64"
"5204bee7a4fc8";"139.77"
"5205e16434afc";"51.85"
"5208d42a983ee";"149.18"
"520b60daddc96";"1.00"
"520f2155142f3";"0.00"
"52121a78461c4";"75.65"
"52135c6609f89";"268.55"
"52137363cbc78";"-0.78"
"521464b60e1ef";"-0.74"
"5214b7501e4fb";"69.43"
"52164473e41ef";"-0.31"
"521aea08d4bd7";"78.67"
"520c87bac8b57";"-0.28"
"5223c2a1b4844";"0.00"
"5115283d38149";"453.14"
"50fe3da1ca085";"-0.04"
"5225d158a93e4";"-2.27"
"52281022887d5";"-0.32"
"51de701c60a2a";"1974.80"
"522eb014e5d67";"2.98"
"523054052aa47";"0.00"
"5232c459eb8c2";"0.00"
"52341d1b78f51";"441.75"
"5234326c16457";"-3.58"
"523848e235eb0";"21.78"
"52392cd718eec";"-0.22"
"52395a027d69a";"-10.88"
"523feccaacc84";"-0.14"
"510b5534ecedb";"-0.30"
"52426d2864d7e";"21.43"
"5242befa0f745";"7.17"
"5243d66b9662b";"37.54"
"524548bcc01bf";"3045.79"
"524526423beab";"73.51"
"524e508453784";"0.00"
"524e64dfdaf3d";"16.13"
"524e9fc90fd7f";"-0.72"
"52523dd67cbb4";"55.96"
"5243c830a86c0";"1.42"
"5188b731230eb";"-1.32"
"524e718390b2c";"-9.94"
"52566de94ee27";"0.00"
"5257c8649326c";"656.75"
"525d2a85a7019";"-0.67"
"526115e7b5f3d";"0.00"
"52621d0edf2d7";"-0.16"
"5268dfbd26855";"595.71"
"526e434ab77c8";"126.78"
"526f84c3b4043";"-0.40"
"52709b0f6e5bf";"18.10"
"51bafbf5af072";"37.34"
"5270c38bc0c11";"48.43"
"52724f8e75fdd";"-0.26"
"527408693b40d";"0.00"
"5277b93f761c2";"9.94"
"527a61646f457";"17.60"
"527cce7017acb";"-1.55"
"527ccfd86c5b4";"72.87"
"527e23798c072";"0.00"
"527fc03edfb19";"183.00"
"524ff75f6c01b";"41.15"
"5281d587e781a";"79.14"
"528315f486aeb";"0.00"
"5281ad4b9555d";"56.32"
"5289969d71f16";"0.00"
"5289bdc2133dc";"5554.67"
"5289d94906bf7";"27.69"
"528a2ec0e6a54";"-0.12"
"528c8204a75c9";"-0.47"
"5292eeb19137b";"-10.26"
"5293464a25eba";"0.00"
"5295bf1a65732";"-2.58"
"5295cfa3bf73e";"0.00"
"4f6a07a886fb7";"-0.39"
"4f4b8fbfb4527";"275.37"
"5147894875b15";"0.00"
"529d667f0ac6f";"1163.21"
"52a451959fe65";"-0.82"
"52a5702c293e2";"15.90"
"52a5aad55f542";"-0.10"
"52a6de2e8a929";"21.82"
"52a94cc38a50f";"-0.10"
"52a954af67af1";"-0.07"
"52abe5c645a42";"-5.63"
"52b16b05104b5";"0.00"
"52b2bcdf96d0a";"-3.01"
"52b3c6bf7af7d";"-0.42"
"52b4404e7d129";"-0.43"
"52b51aa07e7d9";"0.17"
"52b67daaad04c";"19.65"
"529ed13813749";"-2.72"
"52b939cbef61b";"-5.77"
"520884afcb8af";"32.54"
"52bbf06e92a8f";"-17.29"
"5195c26ea62f0";"0.00"
"52c0133499cb6";"-1.25"
"52c1306e026ea";"51.74"
"52c22e4b3ef0d";"29.72"
"52c2bdff9b114";"-1.05"
"514055b5ef173";"-3.59"
"5264c1c411690";"73.67"
"51d9a8ec5b5a2";"1.18"
"52c6bc2534729";"2.32"
"4e1fba06578ec";"0.00"
"52cfe72cc1740";"2875.03"
"52d3e23c08d1a";"-0.07"
"52d5020dd519a";"30.03"
"52d614dc2b4ea";"49.53"
"52d63d2d2e991";"2.30"
"52d65ef66a4bb";"-0.89"
"52d7ac16557a0";"0.00"
"52d7b7e8e5229";"3513.42"
"52d9297f55519";"1.08"
"52dcc5d318835";"0.29"
"52dfc725ec6f3";"-1.27"
"52e38a2e4d369";"-0.28"
"52e60d99a0ff0";"224.19"
"52e77c3809065";"5.32"
"52e7940cb25e2";"445.43"
"52e892aea3862";"0.00"
"52ea13b7b6489";"81.35"
"52ef919d35d18";"-0.61"
"5202132df0214";"54.90"
"52f230ca1535d";"24.04"
"52f326c96afea";"878.31"
"52f481e8c7f0f";"-0.02"
"52f59876d7336";"34.15"
"52a018205c58e";"-2.48"
"52f9d388e5b20";"9.79"
"52f9eef2a3707";"154.29"
"52f9f61c5864b";"1134.71"
"52cfcbd663e14";"53.67"
"52fc47e1199df";"-0.99"
"5301c30105962";"0.00"
"53030beea81f7";"0.00"
"5305a4f39007c";"1142.47"
"5305a8246928a";"246.47"
"52aef069522ac";"-10.54"
"5306d9303cd1f";"3.30"
"530acfc782af3";"3.12"
"52651139ed786";"292.02"
"5048314c041bf";"0.00"
"51aa186cc7643";"0.56"
"530d8e249d395";"-0.55"
"530da9190b109";"4.26"
"53099d1f8b451";"0.00"
"530f6ef4afc60";"27.91"
"5314674c8b401";"144.94"
"5315be0283003";"104.07"
"5316bde5cbab8";"-0.36"
"5319798b9f026";"0.00"
"531a106312899";"43.32"
"531f078fa1180";"2.67"
"510be9a017298";"40.78"
"50af10ca87d01";"60.63"
"5322b3bb2139b";"4.11"
"532470c13cf1c";"0.00"
"5328297795451";"138.44"
"532a7771e9a87";"2.52"
"532a827e0ff9e";"-16.12"
"532bdf3b747c8";"42.52"
"532c37c2202c3";"70.61"
"532c3942a4eba";"1235.06"
"532d80a83e666";"0.00"
"532fd7cecaaa1";"227.53"
"5330072cb794f";"0.62"
"533117ec9f6b1";"0.00"
"53314132b8f06";"90.13"
"5325451bec5fb";"-0.36"
"506955e784746";"28.06"
"5332743f48c75";"-0.23"
"5332c2fc88f96";"0.00"
"5333cc69c7d7b";"92.79"
"533409ae77c87";"5.52"
"53354493ac477";"10.98"
"53354898cdf79";"95.67"
"5337a164bdbcc";"526.19"
"533c2e19311fa";"220.66"
"533d457ac78a6";"-0.42"
"50b35206a3a20";"-0.66"
"534232cd79f07";"54.96"
"53429b09c22ea";"586.35"
"534519a729af8";"1566.78"
"53452f0dbac66";"34.49"
"534635725a1f2";"689.17"
"532ab57e13db3";"-2.11"
"53481952e6909";"347.30"
"534bb34899651";"97.27"
"534bc1090769e";"121.89"
"534e12718a5b1";"16.43"
"53550d9f89e02";"99.74"
"53564ae2d4c15";"0.00"
"53593d848b72a";"-0.18"
"535a06121f3db";"1057.18"
"535a451ff32cb";"139.63"
"535a5a5d1746e";"-0.74"
"535e183556e7f";"35.41"
"535e3d76971f4";"0.67"
"4d7f660da25cc";"3580.62"
"5318840bd277b";"419.82"
"5360ef256392d";"72.54"
"5360c2c7022ab";"199.10"
"522598d2337dd";"-0.47"
"536916a4f3e68";"1.83"
"5369c3e65cb0b";"-1.34"
"536cc53c2e263";"13.45"
"536dd9cb14a51";"10318.79"
"536df12f64d04";"33.09"
"4fbe308e37882";"1350.60"
"537456a9c3868";"-3.39"
"5375e5424af7d";"-0.71"
"537604fea46c4";"0.00"
"4fbe6ca31a7fe";"-2.98"
"537c391448127";"175.03"
"537dc790b4c4e";"-3.99"
"537e191e1c703";"68.22"
"53831d18ed658";"95.91"
"538462acda3ca";"-0.20"
"53847b8734602";"29.08"
"5384915d59a1f";"16.13"
"538577e19b787";"45.32"
"5385912f81632";"2519.79"
"5385a87e36d3e";"47.87"
"5386b5bcce5d8";"-0.49"
"52c6d98775c02";"0.00"
"538ff16ef0441";"-0.32"
"50d2d5d4a22e5";"9.86"
"53932cbb65ea7";"58.78"
"5396b95380c8f";"64.97"
"53981a1c1c13c";"-3.16"
"5367809b60aac";"225.77"
"5283433a3c4bc";"0.00"
"53995f375c6f9";"265.86"
"53997e448c234";"0.00"
"539a8f234299d";"-2.04"
"52b6d7b371bad";"16.13"
"539d912b1f639";"33.00"
"539e9d1db4e02";"8.83"
"539fec7b8bb4f";"18.10"
"538b00919b234";"1109.60"
"53a1a48b8c4b6";"59.85"
"5296d49bc4bb6";"-0.31"
"53a408858b294";"0.00"
"53a7b5f656096";"1665.68"
"53a7b898dce8c";"203.48"
"53a7d0d5865ab";"5.08"
"53a904ca324a7";"-0.14"
"530ef1c7708ab";"-0.22"
"4dcbced11fd02";"-2.27"
"53a95d0eae31b";"136.93"
"50c31bc8b77ea";"11.78"
"53aabe591e7b7";"0.00"
"53ac177537784";"2.11"
"53ad31229aa81";"-0.69"
"53ae8594c8a74";"110.59"
"53afa10ba0869";"4.73"
"53b24533a0f51";"28.46"
"53b259649e899";"85.91"
"52f9f8aa50580";"0.02"
"53b5545d7ed66";"40.03"
"53b6a4f5a95f6";"3797.61"
"53955344a9c02";"0.00"
"52344a99b8963";"0.00"
"5389ad6e4c24b";"-3.38"
"53bcc9375da0b";"-0.24"
"53bd2101e1e10";"3.21"
"53bd325b5b3b7";"9.69"
"53bf95d8b9361";"87.48"
"52903a523a0c6";"-1.21"
"53c3f454a89a3";"216.61"
"53c4da80b88dc";"0.00"
"53c5108e9aea1";"83.60"
"52b6b48e7a1bd";"0.00"
"53c674a09fc6c";"29.46"
"53c76fd999e7a";"-0.66"
"52f9e2bacdea8";"157.02"
"53c8c56f5aae5";"-5.72"
"53c9033f9de6f";"-0.10"
"53ccd76bb6f43";"7.06"
"53cf5d3d969a7";"-0.03"
"53cf69a478ff3";"133.25"
"53d09c3a1fc7b";"56.61"
"53d0c933416c2";"-9.28"
"53d213fd4a74f";"-11.05"
"53d38977a4949";"-0.04"
"53d392e851504";"361.99"
"53d612de9d76a";"20.05"
"53d61533c5230";"0.00"
"53d87d237a5fd";"352.55"
"53d897c4f13c8";"0.65"
"53d8b33f4c67a";"-0.13"
"53d9f75d5bc40";"-0.26"
"53db82ce82ede";"7.88"
"53df2b3717903";"371.69"
"53d8f7c53c632";"1134.63"
"53e0b5005536d";"10.11"
"53e0cccdb5676";"504.32"
"53e340ed54453";"80.85"
"53e366da0aa21";"998.00"
"53e4b51256a11";"88.25"
"53e9c506e5d8a";"73.74"
"4f1aec409a92b";"23.84"
"53eb1c7419347";"0.00"
"53eb2583f4183";"-0.28"
"53eb33e78cd3c";"0.97"
"53ec9cf5247ea";"216.41"
"53f0bc5ae4b8c";"69.27"
"53f2fe6363c36";"0.00"
"53f353c758e7d";"229.06"
"53f4456d70a39";"102.78"
"53f5c3f65324c";"45.45"
"53f5d9131b42d";"491.55"
"53f6f66457364";"48.64"
"53f71851133c4";"45.48"
"53f854334c4c9";"-1.19"
"53fb1fb201da9";"-0.74"
"53fc2c4c66f43";"0.40"
"53fc62b6f292c";"-1.29"
"53fc758ae6684";"0.89"
"53fca3283a4f1";"0.76"
"53fdaf81a2362";"-0.36"
"53ff2d3066263";"833.81"
"5403110d43911";"36.38"
"5404433d5996d";"326.21"
"54046c26646e0";"114.83"
"54055d92029a7";"1350.11"
"540577395ad71";"3.28"
"5405a2e9d1f91";"-0.18"
"54070cd5d95c7";"37.59"
"4e1fbd0bc48d9";"-0.28"
"54084ee1c1abc";"-9.39"
"54085663d6109";"1750.00"
"54096996e11af";"-0.64"
"540af04900d98";"0.00"
"500520476f87c";"0.00"
"540d8b42d8a7c";"216.08"
"54002d5e6b2e7";"4.34"
"54115a5bd17aa";"14.54"
"54115beccb29b";"-2.18"
"53bbef1b7ea1d";"95.04"
"54116c9616d7a";"0.00"
"54128e52b7a75";"0.00"
"541291830f6d1";"4.26"
"5412dd3cd1dbf";"101.20"
"5412e36d748d4";"-1.93"
"5413d7991402e";"55.47"
"50c19453bcdfa";"-0.13"
"54190e18e4936";"57.62"
"54198115cd39f";"-1.91"
"541ac4b2118a5";"156.88"
"541faacc38215";"612.39"
"541ff891dcba3";"-3.14"
"542012091b207";"27.24"
"51cd6360b3bed";"44.17"
"54226ffcc9975";"-1.92"
"54240dbbd929d";"455.46"
"54251f90cde65";"11.77"
"51149a045ce24";"299.23"
"54255f66272c4";"60.80"
"529ecf6fbf23a";"1000.00"
"53dce88f41678";"0.65"
"542aa5b2641cf";"-1.81"
"542b9c8c28191";"-0.79"
"542bf597c30f9";"51.59"
"5431113659938";"0.00"
"52706df844246";"0.00"
"54325368ad404";"0.00"
"54339270d6e67";"280.47"
"543395e07781e";"478.65"
"54353379c0959";"32.30"
"54369bdc09f3c";"783.80"
"543777bfb755a";"-3.74"
"53cf8fc21f686";"501.63"
"5438d5aa20c51";"-0.57"
"52dd07ef8d24e";"-0.21"
"54392111ea09c";"2.54"
"543cc4053d8d0";"11.72"
"543bc06ad2700";"-0.11"
"543ff74cc2fea";"0.00"
"5440dd46d1391";"-1.78"
"54460f8aad618";"416.89"
"519f087e0e15d";"271.93"
"54475a4a84dba";"33.50"
"544dbe84c2cbd";"54.66"
"543559a7b5942";"16.00"
"544e988228717";"59.09"
"53d64233e6387";"42.07"
"543669f7ae5b1";"18.06"
"53ec570c76116";"1.74"
"545a49f8b4e53";"20.80"
"545b7075bb727";"53.93"
"545d7dc461915";"73.31"
"545dbce37c882";"212.56"
"545dfe80846ed";"239.92"
"545e28f7811e3";"0.00"
"545dd062915e1";"-0.52"
"546062fae961b";"3.58"
"5460b4988cfcc";"-0.17"
"5460bd512172e";"558.83"
"546330c2361cc";"-0.03"
"546600b597520";"186.29"
"54663775f3e9b";"8.15"
"5469d24dc98ee";"100.16"
"546a41929de75";"1.05"
"546c7afb90670";"484.72"
"546db95037276";"836.22"
"546dfdf92800d";"-1.80"
"546dc42724e72";"418.19"
"5471a612e7516";"-2.29"
"547306bd5b00b";"0.00"
"54733a3f6711b";"10.49"
"53d9d9911e10f";"-0.26"
"5476d40dd2d74";"180.00"
"5476dca53967e";"-0.86"
"54782f720fca8";"4.99"
