user_id,dvJun13,S30d_events,S30d_totalsessiontime,S30d_sessioncount,S30d_propertiesviewed,S30d_distinctpropertiesviewed,S30d_Saleviews,S30d_Rentviews,S30d_Otherviews,S30d_distinctlocalitiesviewed,S30d_distinctcitiesviewed,S30d_pricevariance,SMax_property,SMax_city_name,SMax_subcategory_name,SMax_source,SMax_utm_traffic_source,SMax_price,SMax_Area_Sq_Feet,R30d_responses,R30d_propertiesresponded,R30d_distinctpropertiesresponded,R30d_Saleresponses,R30d_Rentresponses,R30d_Otherresponses,R30d_distinctlocalitiesresponded,R30d_distinctcitiesresponded,R30d_pricevariance,R30d_Projectresponses,RMax_property,RMax_city_name,RMax_subcategory_name,RMax_source,RMax_utm_traffic_source,RMax_price,RMax_Area_Sq_Feet,S30d_seriousness,S30d_Saleseriousness,S30d_avgsessiontime,S30d_distinctpropertiesviewedRatio,SMax_priceperSqft,R30d_Saleseriousness,R30d_distinctpropertiesrespondedRatio,RMax_priceperSqft
142572468,0,3,2.246983333,1,3,2,3,0,0,0,1,0,Quikr,ROI,Commercial_Sale,desktop,Organic,4,4,2,2,2,2,0,0,0,1,0,0,Quikr,ROI,Commercial_Sale,desktop,Organic,4,4,0.249664815,1,2.246983333,0.666666667,1,1,1,1
144460840,0,43,72.80066667,21,43,27,4,39,0,4,1,0.181616833,Quikr,Pune,Apartment_Rent,desktop,OtherPaid,1,1,,,,,,,,,,,,,,,,,,0.039372994,0.093023256,3.466698413,0.627906977,1,,,
154076351,0,6,8.272616667,1,6,3,6,0,0,3,1,0,Quikr,ROI,Plot_Sale,msite,OtherPaid,1,4,,,,,,,,,,,,,,,,,,0.229794907,1,8.272616667,0.5,0.25,,,
48127060,0,2,0,2,2,1,2,0,0,1,1,0,Quikr,ROI,Plot_Sale,msite,OtherPaid,1,2,,,,,,,,,,,,,,,,,,0,1,0,0.5,0.5,,,
133751783,0,1,0,1,1,1,1,0,0,1,1,,Quikr,Bangalore,Apartment_Sale,desktop,OtherPaid,2,3,,,,,,,,,,,,,,,,,,0,1,0,1,0.666666667,,,
152268228,0,26,29.86256667,10,38,18,9,29,0,3,1,0.185633001,Quikr,ROI,Apartment_Rent,msite,OtherPaid,1,3,2,2,1,0,2,0,1,1,0,0,Quikr,ROI,Apartment_Rent,app,OtherPaid,1,3,0.020680448,0.236842105,2.986256667,0.473684211,0.333333333,0,0.5,0.333333333
151588564,0,29,100.12455,23,52,29,19,33,0,11,1,0.037707391,Quikr,Kolkata,Apartment_Rent,app,Alerts,1,1,2,2,2,0,2,0,2,1,0,0,Quikr,Kolkata,Apartment_Rent,,Alerts,1,3,0.03702831,0.365384615,4.353241304,0.557692308,1,0,1,0.333333333
120790450,0,15,5.199566667,3,15,5,15,0,0,3,1,0.171428571,Quikr,Mumbai_MMR,Apartment_Sale,,Alerts,2,1,3,3,2,3,0,0,1,1,0,0,Quikr,Mumbai_MMR,Apartment_Sale,,Alerts,2,1,0.023109185,1,1.733188889,0.333333333,2,1,0.666666667,2
10401652,0,2,16.78691667,1,2,2,0,2,0,0,1,0,Quikr,ROI,Apartment_Rent,desktop,Internal,4,4,2,2,2,0,2,0,0,1,0,0,Quikr,ROI,Apartment_Rent,desktop,Internal,4,4,4.196729167,0,16.78691667,1,1,0,1,1
112360136,0,4,15.63061667,1,4,2,4,0,0,2,2,2.25,Quikr,ROI,Apartment_Sale,desktop,Organic,1,1,2,2,1,2,0,0,1,2,4.5,0,Quikr,ROI,Apartment_Sale,desktop,Organic,4,1,0.976913542,1,15.63061667,0.5,1,1,0.5,4
144739741,0,1,0,3,3,3,0,2,1,3,1,0,Quikr,ROI,Villa_Rent,app,OtherPaid,1,4,1,1,1,0,1,0,1,1,,0,Quikr,ROI,Apartment_Rent,app,OtherPaid,1,2,0,0,0,1,0.25,0,1,0.5
144435248,0,13,50.5,7,13,8,13,0,0,7,1,1.807692308,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,1,1,1,1,0,0,1,1,,0,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,4,4,0.298816568,1,7.214285714,0.615384615,0.25,1,1,1
156732043,0,4,3.697933333,1,4,1,4,0,0,1,1,0,Quikr,Bangalore,Plot_Sale,Quikr,OtherPaid,1,2,2,2,1,2,0,0,1,1,0,0,Quikr,Bangalore,Plot_Sale,Quikr,Direct,1,2,0.231120833,1,3.697933333,0.25,0.5,1,0.5,0.5
151121152,0,6,8.185466667,1,6,3,3,3,0,3,1,0.266666667,Quikr,Chennai,Apartment_Rent,msite,OtherPaid,1,1,,,,,,,,,,,,,,,,,,0.227374074,0.5,8.185466667,0.5,1,,,
152465144,0,14,4.322583333,1,14,2,14,0,0,2,1,2.225274725,Quikr,ROI,Plot_Sale,msite,SMS,1,4,6,6,1,6,0,0,1,1,2.7,0,Quikr,ROI,Plot_Sale,msite,SMS,4,4,0.022053997,1,4.322583333,0.142857143,0.25,1,0.166666667,1
153978952,0,2,18.04596667,1,2,1,2,0,0,1,1,0,Quikr,Pune,Apartment_Sale,msite,SMS,1,2,,,,,,,,,,,,,,,,,,4.511491667,1,18.04596667,0.5,0.5,,,
152096214,0,23,9.832266667,5,23,10,23,0,0,7,1,0.422924901,Quikr,ROI,Plot_Sale,msite,Alerts,1,1,2,2,1,2,0,0,1,1,0,0,Quikr,ROI,Plot_Sale,msite,Alerts,1,1,0.018586515,1,1.966453333,0.434782609,1,1,0.5,1
126300420,0,12,29.571,1,12,8,12,0,0,5,1,0.265151515,Quikr,Bangalore,Plot_Sale,,OtherPaid,2,4,2,2,2,2,0,0,2,1,0.5,0,Quikr,Bangalore,Plot_Sale,,Organic,1,4,0.205354167,1,29.571,0.666666667,0.5,1,1,0.25
141857695,0,12,7.592966667,1,12,3,12,0,0,3,1,2.454545455,Quikr,Mumbai_MMR,Apartment_Sale,msite,OtherPaid,4,1,5,5,3,5,0,0,3,1,2.7,0,Quikr,Mumbai_MMR,Apartment_Sale,msite,Internal,4,1,0.052728935,1,7.592966667,0.25,4,1,0.6,4
151022941,0,6,8.532166667,4,6,6,6,0,0,6,1,0,Quikr,Kolkata,Apartment_Sale,Quikr,Alerts,1,1,3,3,3,3,0,0,3,1,0,0,Quikr,Kolkata,Apartment_Sale,Quikr,Alerts,1,1,0.23700463,1,2.133041667,1,1,1,1,1
154905453,0,4,3.1737,1,0,0,4,0,0,0,1,0,Quikr,Delhi_NCR,Apartment_Sale,desktop,OtherPaid,4,4,2,0,0,2,0,0,0,1,0,2,Quikr,Delhi_NCR,Apartment_Sale,desktop,SEM,4,4,,1,3.1737,,1,1,,1
115646022,0,21,43.19613333,2,21,13,19,0,2,9,2,0,Quikr,Delhi_NCR,Plot_Sale,msite,OtherPaid,1,1,,,,,,,,,,,,,,,,,,0.097950416,1,21.59806667,0.619047619,1,,,
155910595,0,179,164.5300833,26,179,45,73,102,4,13,2,0.615655012,Quikr,Mumbai_MMR,Apartment_Rent,msite,Alerts,1,1,21,21,5,11,10,0,3,2,2.357142857,0,Quikr,Mumbai_MMR,Apartment_Rent,msite,Alerts,1,1,0.005134986,0.417142857,6.328080128,0.251396648,1,0.523809524,0.238095238,1
152305393,0,22,89.3325,9,22,11,21,1,0,8,3,1.231601732,Quikr,Kolkata,Apartment_Sale,desktop,OtherPaid,1,2,1,1,1,1,0,0,1,1,,0,Quikr,Kolkata,Plot_Sale,desktop,OtherPaid,1,1,0.184571281,0.954545455,9.925833333,0.5,0.5,1,1,1
154125677,0,38807,169.1000667,5,34179,9988,18565,14445,5797,2631,8,1.849870985,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,17938,13310,5863,7032,5524,5382,2253,8,1.807091846,0,Quikr,ROI,Others,desktop,Direct,4,4,1.45E-07,0.562405332,33.82001333,0.292226221,0.25,0.560050972,0.440495868,1
154127924,0,24932,165.1701833,12,20712,6987,11156,8741,5035,1988,8,1.892414342,Quikr,ROI,Apartment_Sale,desktop,CF,1,4,11369,7149,3273,3743,2930,4696,1509,8,1.663748522,0,Quikr,ROI,Others,desktop,Direct,4,4,3.85E-07,0.560687541,13.76418194,0.337340672,0.25,0.560917129,0.457826269,1
154125622,0,39091,133.4782167,8,34336,10091,18730,14436,5925,2633,8,1.850826694,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,18065,13310,5863,7032,5524,5509,2253,8,1.801051531,0,Quikr,ROI,Others,desktop,Direct,4,4,1.13E-07,0.56473497,16.68477708,0.293889795,0.25,0.560050972,0.440495868,1
136498504,0,2,0,2,1,1,1,0,1,1,1,4.5,Quikr,Hyderabad,Villa_Sale,msite,SEM,1,4,1,0,0,0,0,1,0,1,,1,Quikr,Hyderabad,Others,,SEM,4,4,0,1,0,1,0.25,,,1
125406289,0,14,10.3409,4,14,5,14,0,0,3,1,0.131868132,Quikr,Chennai,Apartment_Sale,desktop,OtherPaid,1,1,,,,,,,,,,,,,,,,,,0.052759694,1,2.585225,0.357142857,1,,,
154815902,0,31,46.47558333,5,29,5,29,0,2,4,1,2.382352941,Quikr,ROI,Apartment_Sale,msite,Alerts,4,1,13,13,4,13,0,0,3,1,2.7,0,Quikr,ROI,Apartment_Sale,msite,Alerts,1,2,0.055262287,1,9.295116667,0.172413793,4,1,0.307692308,0.5
154445203,0,26,27.16976667,3,26,7,26,0,0,2,1,1.164615385,Quikr,ROI,Plot_Sale,msite,OtherPaid,2,4,8,8,5,8,0,0,2,1,1.410714286,0,Quikr,ROI,Plot_Sale,msite,OtherPaid,2,4,0.040191963,1,9.056588889,0.269230769,0.5,1,0.625,0.5
136414374,0,37,14.60611667,3,37,11,34,0,3,6,2,1.837301587,Quikr,Kolkata,Apartment_Sale,msite,Internal,1,1,14,14,4,12,0,2,4,2,2.423076923,0,Quikr,ROI,Apartment_Sale,msite,Internal,1,1,0.010669187,1,4.868705556,0.297297297,1,1,0.285714286,1
144467958,0,23,49.4608,4,22,9,23,0,0,4,1,0.391304348,Quikr,Pune,Apartment_Sale,msite,OtherPaid,1,1,2,2,2,2,0,0,2,1,0,0,Quikr,Pune,Apartment_Sale,msite,OtherPaid,1,1,0.102191736,1,12.3652,0.409090909,1,1,1,1
145349474,0,1,0,1,1,1,1,0,0,0,1,,Quikr,ROI,Apartment_Sale,msite,Alerts,4,4,1,1,1,1,0,0,0,1,,0,Quikr,ROI,Apartment_Sale,msite,Alerts,4,4,0,1,0,1,1,1,1,1
125387711,0,3,0.719133333,1,3,1,3,0,0,1,1,0,Quikr,ROI,Villa_Sale,,SMS,1,3,1,1,1,1,0,0,1,1,,0,Quikr,ROI,Villa_Sale,,SMS,1,3,0.079903704,1,0.719133333,0.333333333,0.333333333,1,1,0.333333333
120730805,0,5,1.051433333,3,5,3,5,0,0,3,1,0,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,1,1,1,1,1,0,0,1,1,,0,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,1,0.042057333,1,0.350477778,0.6,1,1,1,1
130815538,0,4,12.6444,2,4,4,2,2,0,4,1,0,Quikr,Hyderabad,Apartment_Rent,desktop,OtherPaid,1,4,,,,,,,,,,,,,,,,,,0.790275,0.5,6.3222,1,0.25,,,
156430076,0,6,3.40275,1,6,1,6,0,0,1,1,0,Quikr,Mumbai_MMR,Commercial_Sale,msite,Internal,2,4,2,2,1,2,0,0,1,1,0,0,Quikr,Mumbai_MMR,Commercial_Sale,,Internal,2,4,0.094520833,1,3.40275,0.166666667,0.5,1,0.5,0.5
109962840,0,20,86.15606667,10,20,13,16,1,3,9,3,0.365789474,Quikr,Bangalore,Apartment_Sale,desktop,OtherPaid,1,2,,,,,,,,,,,,,,,,,,0.215390167,0.941176471,8.615606667,0.65,0.5,,,
141431099,0,6,2.9055,1,6,1,6,0,0,1,1,0,Commonfloor,ROI,Apartment_Sale,qh,Alerts,2,2,3,3,1,3,0,0,1,1,0,0,Commonfloor,ROI,Apartment_Sale,qh,Alerts,2,2,0.080708333,1,2.9055,0.166666667,1,1,0.333333333,1
153679134,0,7,5.134166667,2,7,3,7,0,0,3,1,0,Quikr,Bangalore,Apartment_Sale,msite,OtherPaid,1,1,1,1,1,1,0,0,1,1,,0,Quikr,Bangalore,Apartment_Sale,msite,OtherPaid,1,1,0.104778912,1,2.567083333,0.428571429,1,1,1,1
153886184,0,45552,147.84955,5,39877,11843,21544,17000,7008,2803,8,1.850712044,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,20979,15304,6805,8035,6404,6540,2405,8,1.808374666,0,Quikr,ROI,Others,desktop,Direct,4,4,9.30E-08,0.558945621,29.56991,0.296988239,0.25,0.556478981,0.444654992,1
154013326,0,41589,189.0394,12,36324,10814,19632,15409,6548,2698,8,1.857277047,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,19218,13953,6120,7324,5797,6097,2293,8,1.794491498,0,Quikr,ROI,Others,desktop,Direct,4,4,1.43E-07,0.560257984,15.75328333,0.297709503,0.25,0.558189162,0.438615352,1
153887125,0,44905,146.7863833,4,39340,11661,21145,16901,6859,2774,8,1.849606904,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,20672,15107,6718,7949,6325,6398,2384,8,1.809725292,0,Quikr,ROI,Others,desktop,Direct,4,4,9.48E-08,0.555774589,36.69659583,0.296415862,0.25,0.556886647,0.444694512,1
132177891,0,39376,155.8517833,7,34646,10161,18710,14695,5971,2654,8,1.850886058,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,18191,13461,5924,7015,5633,5543,2274,8,1.811874551,0,Quikr,ROI,Others,desktop,Direct,4,4,1.30E-07,0.560095794,22.26454048,0.29328061,0.25,0.554633144,0.440086175,1
154012342,0,46332,180.8644333,4,40514,12107,21940,17252,7140,2822,8,1.841742873,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,21184,15366,6940,8129,6398,6657,2423,8,1.812722324,0,Quikr,ROI,Others,desktop,Direct,4,4,1.10E-07,0.559808124,45.21610833,0.298834971,0.25,0.559578715,0.451646492,1
154125330,0,37199,111.3241333,4,32530,9604,17789,13591,5819,2363,8,1.867787583,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,17473,12804,5448,6765,5290,5418,1984,8,1.75903011,0,Quikr,ROI,Others,desktop,Direct,4,4,1.05E-07,0.566889739,27.83103333,0.295235168,0.25,0.561177934,0.425492034,1
154123405,0,41054,134.61265,4,35673,10724,18893,15472,6689,2686,8,1.86711246,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,18994,13613,5949,6944,5830,6220,2272,8,1.790285526,0,Quikr,ROI,Others,desktop,Direct,4,4,1.06E-07,0.54977448,33.6531625,0.300619516,0.25,0.543604196,0.437008742,1
153885181,0,43541,142.8863333,5,37991,11341,20327,16386,6828,2744,8,1.859075446,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,20007,14457,6427,7624,6030,6353,2338,8,1.799391485,0,Quikr,ROI,Others,desktop,Direct,4,4,9.90E-08,0.553673086,28.57726667,0.29851807,0.25,0.558371173,0.444559729,1
153886039,0,44944,124.9998333,7,39007,11825,20948,16789,7207,2774,8,1.858559313,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,20685,14748,6556,7755,6203,6727,2358,8,1.788644756,0,Quikr,ROI,Others,desktop,Direct,4,4,8.22E-08,0.555105069,17.85711905,0.303150717,0.25,0.555595358,0.444534852,1
154126106,0,38766,143.9594333,6,34513,9795,18708,14588,5470,2616,8,1.841725571,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,17917,13664,6022,7220,5657,5040,2281,8,1.8293156,0,Quikr,ROI,Others,desktop,Direct,4,4,1.21E-07,0.561869294,23.99323889,0.283806102,0.25,0.560689602,0.440720141,1
154124825,0,39251,134.1425,8,34578,10109,18640,14695,5916,2649,8,1.851173356,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,18134,13461,5924,7015,5633,5486,2274,8,1.814556533,0,Quikr,ROI,Others,desktop,Direct,4,4,1.12E-07,0.559172041,16.7678125,0.29235352,0.25,0.554633144,0.440086175,1
154012627,0,43925,149.8479,4,38657,11305,20984,16384,6557,2778,8,1.847591609,Quikr,ROI,Apartment_Sale,desktop,OtherPaid,1,4,20271,15003,6630,7940,6228,6103,2390,8,1.813494692,0,Quikr,ROI,Others,desktop,Direct,4,4,1.00E-07,0.561549989,37.461975,0.292443801,0.25,0.560417843,0.441911618,1
152248270,0,26,27.98011667,2,18,4,18,0,8,3,1,1.304615385,Quikr,Hyderabad,Plot_Sale,Quikr,OtherPaid,4,4,9,9,4,9,0,0,3,1,1.611111111,0,Quikr,Hyderabad,Plot_Sale,Quikr,Organic,4,1,0.086358385,1,13.99005833,0.222222222,1,1,0.444444444,4
146335301,0,3,2.657416667,1,3,1,3,0,0,1,1,0,Quikr,Pune,Commercial_Sale,msite,Alerts,2,1,,,,,,,,,,,,,,,,,,0.295268519,1,2.657416667,0.333333333,2,,,
125808283,0,1,0,1,1,1,1,0,0,0,1,,Quikr,ROI,Plot_Sale,msite,Alerts,4,4,1,1,1,1,0,0,0,1,,0,Quikr,ROI,Plot_Sale,msite,Alerts,4,4,0,1,0,1,1,1,1,1
125147397,0,28,47.70758333,2,28,13,28,0,0,10,1,1.571428571,Quikr,ROI,Plot_Sale,desktop,OtherPaid,1,1,4,4,4,4,0,0,3,1,2.25,0,Quikr,ROI,Plot_Sale,desktop,OtherPaid,1,4,0.060851509,1,23.85379167,0.464285714,1,1,1,0.25
150838713,0,25,48.8869,3,25,11,11,12,2,2,1,0.69,Quikr,ROI,Apartment_Rent,msite,OtherPaid,1,1,,,,,,,,,,,,,,,,,,0.07821904,0.47826087,16.29563333,0.44,1,,,
146961000,0,7,0.132916667,1,7,6,7,0,0,5,2,0.285714286,Quikr,Mumbai_MMR,Apartment_Sale,desktop,OtherPaid,2,1,,,,,,,,,,,,,,,,,,0.002712585,1,0.132916667,0.857142857,2,,,
146364361,0,1,0,1,1,1,1,0,0,0,1,,Quikr,ROI,Plot_Sale,msite,Organic,4,4,1,1,1,1,0,0,0,1,,0,Quikr,ROI,Plot_Sale,msite,Organic,4,4,0,1,0,1,1,1,1,1
150183101,0,30,13.72581667,7,30,12,30,0,0,7,1,0.598850575,Quikr,ROI,Plot_Sale,msite,OtherPaid,1,4,7,7,6,7,0,0,5,1,0,0,Quikr,ROI,Plot_Sale,msite,Direct,1,4,0.015250907,1,1.960830952,0.4,0.25,1,0.857142857,0.25
153856364,0,31,18.97436667,5,31,18,27,0,4,9,1,0.212903226,Quikr,Hyderabad,Villa_Sale,msite,OtherPaid,2,3,4,4,3,4,0,0,1,1,0,0,Quikr,Hyderabad,Villa_Sale,msite,OtherPaid,2,3,0.019744398,1,3.794873333,0.580645161,0.666666667,1,0.75,0.666666667
157120910,0,61,54.09543333,4,61,45,5,56,0,24,1,0.147540984,Quikr,ROI,Apartment_Rent,,OtherPaid,1,2,1,1,1,0,1,0,1,1,,0,Quikr,ROI,Apartment_Rent,,Organic,1,2,0.014537875,0.081967213,13.52385833,0.737704918,0.5,0,1,0.5
101327857,0,2,2.639383333,1,0,0,0,0,2,0,1,0,Quikr,ROI,Others,msite,Organic,4,4,2,0,0,0,0,2,0,1,0,2,Quikr,ROI,Others,msite,Organic,4,4,,,2.639383333,,1,,,1
153079676,0,19,39.59391667,4,16,8,16,0,3,2,2,2.210526316,Quikr,Hyderabad,Villa_Sale,msite,Alerts,1,2,6,4,4,4,0,2,0,2,0,2,Quikr,ROI,Villa_Sale,msite,Organic,4,4,0.154663737,1,9.898479167,0.5,0.5,1,1,1
23600030,0,1,0,1,1,1,1,0,0,1,1,,Quikr,ROI,Villa_Sale,msite,Internal,4,4,1,1,1,1,0,0,1,1,,0,Quikr,ROI,Villa_Sale,msite,Internal,4,4,0,1,0,1,1,1,1,1
155027385,0,30,47.92826667,2,30,20,27,0,3,10,2,0.837931034,Quikr,Delhi_NCR,Apartment_Sale,desktop,OtherPaid,1,1,6,6,3,6,0,0,2,2,2.7,0,Quikr,ROI,Apartment_Sale,desktop,Organic,1,4,0.05325363,1,23.96413333,0.666666667,1,1,0.5,0.25
142160766,0,5,1.005183333,1,5,3,5,0,0,2,1,0,Quikr,ROI,Commercial_Sale,,Organic,1,1,2,2,2,2,0,0,2,1,0,0,Quikr,ROI,Commercial_Sale,,Organic,1,1,0.040207333,1,1.005183333,0.6,1,1,1,1
125044387,0,6,27.05201667,2,3,2,3,0,3,1,1,2.7,Commonfloor,ROI,Apartment_Sale,qh,CF,4,4,1,1,1,1,0,0,0,1,,0,Commonfloor,ROI,Apartment_Sale,qh,Organic,1,1,3.00577963,1,13.52600833,0.666666667,1,1,1,1
131216124,0,19,17.6533,1,7,3,7,0,12,3,1,1.543859649,Quikr,ROI,Others,desktop,OtherPaid,4,4,1,1,1,1,0,0,1,1,,0,Quikr,ROI,Plot_Sale,desktop,Organic,1,4,0.360271429,1,17.6533,0.428571429,1,1,1,0.25
157204990,0,5,9.081516667,1,5,1,5,0,0,1,1,0,Quikr,Kolkata,Plot_Sale,desktop,Organic,1,3,1,1,1,1,0,0,1,1,,0,Quikr,Kolkata,Plot_Sale,,Organic,1,3,0.363260667,1,9.081516667,0.2,0.333333333,1,1,0.333333333
128175908,0,6,3.295933333,2,6,3,6,0,0,2,1,1.366666667,Quikr,ROI,Plot_Sale,desktop,OtherPaid,1,4,2,2,1,2,0,0,1,1,4.5,0,Quikr,ROI,Plot_Sale,desktop,Organic,1,4,0.091553704,1,1.647966667,0.5,0.25,1,0.5,0.25
155699477,0,12,3.715766667,3,12,3,12,0,0,2,1,0,Quikr,ROI,Apartment_Sale,,OtherPaid,1,1,3,3,2,3,0,0,1,1,0,0,Quikr,ROI,Apartment_Sale,,Internal,1,1,0.025803935,1,1.238588889,0.25,1,1,0.666666667,1
126770131,0,1,0,1,0,0,0,0,1,0,1,,Quikr,ROI,Others,msite,Organic,4,4,1,0,0,0,0,1,0,1,,1,Quikr,ROI,Others,msite,Organic,4,4,,,0,,1,,,1
156097849,0,16,19.58916667,3,13,1,16,0,0,1,1,0.65,Quikr,Kolkata,Apartment_Sale,msite,OtherPaid,2,1,3,2,1,3,0,0,1,1,1.333333333,2,Quikr,Kolkata,Apartment_Sale,msite,OtherPaid,2,1,0.115912229,1,6.529722222,0.076923077,2,1,0.5,2
157154484,0,15,45.00791667,3,12,7,12,0,3,5,1,1.285714286,Quikr,Mumbai_MMR,Apartment_Sale,desktop,OtherPaid,1,1,1,1,1,1,0,0,1,1,,0,Quikr,Mumbai_MMR,Apartment_Sale,desktop,Organic,2,1,0.312554977,1,15.00263889,0.583333333,1,1,1,2
153941543,0,2,1.072433333,1,2,1,2,0,0,1,1,0,Quikr,ROI,Apartment_Sale,msite,OtherPaid,2,3,1,1,1,1,0,0,1,1,,0,Quikr,ROI,Apartment_Sale,msite,OtherPaid,2,3,0.268108333,1,1.072433333,0.5,0.666666667,1,1,0.666666667
128957647,0,3,0.690233333,2,3,2,3,0,0,2,2,0,Quikr,ROI,Apartment_Sale,,OtherPaid,1,1,,,,,,,,,,,,,,,,,,0.076692593,1,0.345116667,0.666666667,1,,,
151562501,0,94,94.28581667,26,94,41,86,8,0,28,2,0.926367461,Quikr,ROI,Plot_Sale,msite,OtherPaid,1,4,,,,,,,,,,,,,,,,,,0.010670645,0.914893617,3.626377564,0.436170213,0.25,,,
